week,date_tuesday,date_thursday,pm_ai_fluency_slot,pm_wednesday_source_or_status,technical_topic,pm_friday_source_or_status,thursday_mode,artifact_family,critical_thinking_question,ai_failure_mode
3,2026-09-01,2026-09-03,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Logic, Claims & Proof",SOURCE_PENDING,Pair Programming,"checker/counterexample generator/proof verifier","Does a true conclusion mean the argument was valid?","true conclusion by invalid argument; unjustified proof step"
4,2026-09-08,2026-09-10,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Sets, Functions & Sequences as Representations",SOURCE_PENDING,Show & Tell,"representation comparison/table or sequence trace","What did our representation assume, omit, or blur?","silent domain/codomain change; lost distinction"
5,2026-09-15,2026-09-17,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Algorithms, Correctness & Growth",SOURCE_PENDING,Pair Programming,"test harness/trace checker/complexity probe","“It worked on my examples” proves what, exactly?","ordinary examples pass; edge case or correctness argument missing"
6,2026-09-22,2026-09-24,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Integer Properties & Cryptography",SOURCE_PENDING,Show & Tell,"encode/decode checker/modular witness","What assumptions make a security claim true?","attacker assumed away; number-theory assumption unproved"
7,2026-09-29,2026-10-01,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Induction, Recursion & Recurrences",SOURCE_PENDING,Pair Programming,"recursion tracer/invariant checker/recurrence explorer","Where is the logical bridge?","missing base case; circular reasoning; illegal inductive leap"
8,2026-10-06,2026-10-08,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Counting & Combinatorial Reasoning",SOURCE_PENDING,Show & Tell,"enumerator/case-partition witness/counting model","Are cases exhaustive and mutually exclusive?","double counting; overlap; incomplete case split"
9,2026-10-13,2026-10-15,"8 min; Tuesday-only pair-style work",SOURCE_PENDING,"Probability, Uncertainty & Evidence",SOURCE_PENDING,"Fall Break — no Thursday class","simulator/evidence table","How do base rates and simulation fool us?","false independence; base-rate neglect; gambler's fallacy; simulation overclaim"
10,2026-10-20,2026-10-22,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Relations, Equivalence, Partial Orders, Matrices & Digraphs",SOURCE_PENDING,Show & Tell,"relation classifier/matrix-digraph model","When are two things “the same”?","equivalence/order claim violates a required property"
11,2026-10-27,2026-10-29,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Graphs & Network Reasoning",SOURCE_PENDING,Pair Programming,"graph builder/traversal/path checker","Are we solving the graph correctly, or modeling reality incorrectly?","correct solution to wrong graph model"
12,2026-11-03,2026-11-05,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Trees, Search & Decision Structures",SOURCE_PENDING,Show & Tell,"tree visualizer/traversal/search trace","What information disappears in a hierarchy?","relevant relation erased; unjustified decision split"
13,2026-11-10,2026-11-12,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Boolean Algebra, Circuits & SAT",SOURCE_PENDING,Pair Programming,"truth-table evaluator/SAT witness/circuit checker","Is this transformation equivalent under every assignment?","simplification fails one assignment; satisfiable confused with universal truth"
14,2026-11-17,2026-11-19,"8 min; convincing wrong answer lens",SOURCE_PENDING,"Finite-State Machines, Invariants & Model Limits",SOURCE_PENDING,"Show & Tell / Reasoning Odyssey mini-capstone","state-machine runner/model defense","Which states or transitions were forgotten?","omitted state/transition; model limit ignored"
