id,objective,lane,kind,repositories,prerequisites,unlocks,deadline_bucket,parallelism
CP-1,Bounded DSCT Tuesday framing T/Th run-of-show activity exit check and help/tools message,Tuesday,AUTHORING,DSCT + semester_kickoff_week read-only,300B evidence,coherent first class,MUST BEFORE TUESDAY,parallel with read-only target verification
CP-2,Own orientation-versus-logic/proof decision and record selected identity,Week 2 gate,DECISION,JTT + DSCT,300B conflict,honest Week 2 brief,MUST BEFORE TUESDAY for precise bridge otherwise before W2 authoring,parallel with CP-1 only with topic-neutral bridge
CP-3,Author complete selected Week 2 lesson reading activity write-up rubric exemplar checks AI expectation and Coach bundle,Instruction,AUTHORING,DSCT,CP-2 and cadence if dates published,student/instructor Week 2 contract,SHOULD DURING WEEK 1 / MUST BEFORE WEEK 2 STARTS,parallel with CP-4 after contract boundary
CP-4,Define minimal deterministic DSCT desired-state contract with tracked references and T/Th shape,Deployment,ENGINEERING,DSCT + Course Foundry,CP-2,low-rework builder interface,SHOULD DURING WEEK 1,parallel with CP-3
CP-5,Verify claimed Savnac DSCT target and safe read path,Deployment,VERIFICATION,Harbor/Savnac/operator,access and source-backed candidate,target evidence or runtime fallback,SHOULD DURING WEEK 1,independent of CP-1-CP-3
CP-6,Implement/register builder and run honest dry-run verification,Deployment,ENGINEERING+VERIFICATION,Course Foundry + DSCT + Imprint/Harbor contracts,CP-3 CP-4 CP-5,Week 2 deployment candidate,MUST BEFORE WEEK 2 STARTS if LMS required,no shared write checkout
CP-7,Freeze rubric/material manifest add fail-closed adapter and run 3-5-case local battery,Assessment,ENGINEERING+VERIFICATION,DSCT + Marker + Coach + lab,CP-3,automated feedback candidate,MUST BEFORE WEEK 2 STARTS only if automation promised,parallel with CP-6 in separate worktrees
CP-8,Verify student/instructor artifacts and select intended delivery or exact-source manual fallback,Release,VERIFICATION,DSCT + deployment repos,CP-3 plus CP-6 or documented fallback,trustworthy Week 2 start,MUST BEFORE WEEK 2 STARTS,serial gate
CP-9,Hand frozen contract to external watcher and verify seam only,Feedback,OPTIONAL+VERIFICATION,External watcher + Marker/Coach/Dispatch/Harbor,CP-7 and watcher availability,future automation,CAN WAIT UNTIL AFTER WEEK 2,no duplicate watcher
CP-10,Author bounded semester batch beginning Weeks 3-5,Semester,AUTHORING,DSCT,CP-2 and W2 pattern,sustainable semester build,SEMESTER / RESEARCH / SCALE ONLY,parallel only in separate worktrees
CP-11,Expand synthetic cases and decide whether NRP is informative,Research,OPTIONAL+VERIFICATION,Synthetic Student Laboratory + NRP,CP-7 CP-9 frozen manifests,scale evidence,SEMESTER / RESEARCH / SCALE ONLY,after local contracts
