"observation","supports","does_not_establish","source_or_activity"
"command resolves","the named command was found","every feature works or program correctness","local_ai_lab_setup/shared/week2/03_powershell_survival_guide.md"
"Ollama loopback responds","service answered at that moment","model inference quality or correctness","local_ai_lab_setup/shared/week2/08_localhost_apis_and_local_vs_cloud.md"
"model is listed","service reports the approved model","successful inference","local_ai_lab_setup/shared/week2/06_ollama_models_and_hardware.md"
"Check READY","required readiness checks passed at that moment","AI-generated answer/change is correct","windows_classroom/scripts/week2_classroom.ps1"
"Aider completes","a request was sent and proposal/change was produced","proposal follows or should be accepted","local_ai_lab_setup/curriculum/dsct/week2_extension.md"
"Diff is one file/one expression","what text changed and where","behavior is correct","windows_classroom/docs/week2_student_guide.md"
"Final passes","supplied test expectation passed for its cases","all possible inputs or general claim","local_ai_lab_setup/curriculum/shared/week2/12_readiness_assignment.md"
"recipe is explicit","another person can attempt the stated environment steps","runtime/base image is available or result is correct","week-02/student/thursday/container-example/"
"container output matches expected","this bounded run produced the observed output","normalization is universally correct or conclusion is justified","week-02/student/thursday/repeatability-receipt.md"
"supplied receipt inspected","student can reason from recorded recipe/output evidence","student machine built or ran a container","week-02/instructor/thursday-run-of-show.md"
