zybook_identifier,chapter_number,chapter_title,section_number,section_title,classification,target_week_topic,reason,prerequisite_or_dependency
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.1,1.1 Propositions and logical operations,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.2,1.2 Evaluating compound propositions,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.3,1.3 Conditional statements,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.4,1.4 Logical equivalence,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.5,1.5 Laws of propositional logic,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.6,1.6 Predicates and quantifiers,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.7,1.7 Quantified statements,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.8,1.8 De Morgan's law for quantified statements,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.9,1.9 Nested quantifiers,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.10,1.10 More nested quantified statements,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.11,1.11 Logical reasoning,KEEP,"W3 Logic, proof, and sequences","Core language for evaluating claims, translating conditions, and making defensible arguments.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.12,1.12 Rules of inference with propositions,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,1,1. Logic,1.13,1.13 Rules of inference with quantifiers,OPTIONAL,"W3 Logic, proof, and sequences","Useful formal extension; assign only for remediation, challenge, or a selected proof need.",None; establishes shared language.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.1,2.1 Mathematical definitions,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.2,2.2 Introduction to proofs,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
