"surface","owner","canonical_source","dsct_artifact_or_use"
"Week 2 identity/dates","DSCT","planning/fall-2026-spine.md; jeremy_task_tracking/questions/009_dsct_week2_identity.md","week-02/README.md"
"Week 1 reasoning method","DSCT","week-01/student/reasoning-method.md","Tuesday and Thursday receipts"
"Shared AI explanation/safety","local_ai_lab_setup","curriculum/shared/week2/01_start_here.md through 12_readiness_assignment.md","week-02/student/tuesday/README.md"
"DSCT claim exercise","local_ai_lab_setup","curriculum/dsct/week2_extension.md","week-02/student/tuesday/dsct-evidence-reflection.md"
"Shared module sequence","local_ai_lab_setup","curriculum/week2_module_manifest.yml","planning/week-02-source-map.md"
"Windows command surface","windows_classroom","docs/week2_student_guide.md; scripts/week2_classroom.ps1","week-02/student/tuesday/README.md"
"Local launcher boundary","windows_classroom","scripts/student_agent.ps1","Tuesday architecture/evidence limits"
"Reference integration","computer_science_2","planning/week-02-local-ai-lab-integration.md; assignments/week-02-local-ai-readiness.md","thin-wrapper pattern"
"Repeatability concept/artifact","DSCT","week-02/student/thursday/container-example/","Thursday recipe inspection"
"Thursday runtime status","DSCT/instructor preflight","week-02/instructor/thursday-run-of-show.md; week-02/student/help-and-runtime-status.md","conditional executable path + fallback"
