seam,verdict,proof_level,owner_repo,first_failure,blocks_when,smallest_next_action,evidence_path
DSCT repo can be selected by Course Foundry,NO-GO,static code,course_foundry,"run.py only registers 24298 and 1; no DSCT id 4 adapters",all DSCT graph deployment,"register DSCT load/sync adapters after building the producer",course_foundry/course_foundry/run.py
DSCT source can become a machine-readable desired state,NO-GO,static code,course_foundry,"no DSCT DesiredCourse builder",all DSCT deployment,"write one deterministic DSCT DesiredCourse builder",derived/deployment_edges.csv
desired state conforms to Imprint DesiredCourse contract,UNKNOWN — NEEDS SPECIFIC EVIDENCE,no DSCT plan,course_foundry,"no DSCT desired state exists",all DSCT Imprint validation,"validate the new real DSCT plan with imprint validate",imprint/imprint/schema.py
Imprint reconciliation engine is locally healthy,GO WITH YELLOWS,code compile only,imprint,"pytest unavailable: Python lacks pytest/pydantic",does not itself block adapter design,"install/use documented dev environment and run tests",raw/20260814T000000Z__validation.raw.txt
Imprint uses Harbor correctly as transport,GO,static code,imprint,"none",later deployment,"none",imprint/imprint/reconcile.py
Harbor provides the object operations DSCT needs,GO WITH YELLOWS,static API contract,harbor,"local tests unavailable",later deployment,"run Harbor focused tests in dev environment",harbor/harbor/api.py
Maise can safely reach Savnac through normal path,NO-GO,runtime,environment,"no local Savnac config; Maise->Brandy SSH socket operation denied",Savnac dry run only,"run read-only Harbor command from Brandy or restore approved Maise tunnel/config",raw/20260814T000000Z__savnac_probe.raw.txt
source-backed DSCT Savnac course target is identifiable,UNKNOWN — NEEDS SPECIFIC EVIDENCE,source claim only,discrete_structures_and_critical_thinking,"metadata comment claims Savnac course 4; no safe API read",Savnac dry run only,"GET course metadata for 4 through normal configured Harbor path",course_metadata.yaml
DSCT-specific Imprint validation can run,NO-GO,static architecture,course_foundry,"no DSCT DesiredCourse producer",all DSCT Imprint validation,"implement producer then run imprint validate",derived/dry_run_level.json
DSCT-specific Savnac dry-run can run,NO-GO,static/runtime,course_foundry,"no producer (first); target/network also unproven",all Savnac preview,"implement producer; verify target/read path",derived/dry_run_level.json
Course Foundry normal DSCT dry path exists,NO-GO,static code,course_foundry,"normal CLI has no DSCT registration and load node always writes",all normal graph runs,"add DSCT plan/dry-run-aware graph adapter",course_foundry/course_foundry/run.py
shared Week 1 deployment path is reusable for DSCT,NO-GO,static code,course_foundry,"legacy adapter is M/W/F and uses fixed MWF dates; DSCT is T/Th",Tuesday and Week 1 deployment,"define DSCT-specific kickoff mapping/adapter input",course_foundry/course_foundry/semester_kickoff_content_map.py
real Canvas target path is statically safe and identifiable,NO-GO,static code/source,discrete_structures_and_critical_thinking,"no Fall 2026 real Canvas id; no read attempted",later real Canvas deployment,"source-back real course id and use read-only metadata check",harbor/harbor/config.py
one canonical deployment architecture exists without duplicate routes,NO-GO,static code,course_foundry,"CS1 is Imprint but kickoff and Course Information reconcile directly via Harbor",later architecture maintenance,"cut over shared kickoff and fold standalone page into an explicit canonical plan/exception",course_foundry/course_foundry/load_adapters.py
